iter	MultiClass
2278	0.002446247315
2279	0.00244525221
2280	0.002444505733
2281	0.002443939984
2282	0.002442872512
2283	0.002441757781
2284	0.002440728912
2285	0.002440147885
2286	0.002438737944
2287	0.002437931426
2288	0.002437047661
2289	0.002435894673
2290	0.002434938508
2291	0.00243419319
2292	0.002433424715
2293	0.002432161124
2294	0.002429966992
2295	0.002429033467
2296	0.002427274421
2297	0.00242613484
2298	0.002424880436
2299	0.002423596742
2300	0.002422421818
2301	0.002420829645
2302	0.002418547256
2303	0.002417177159
2304	0.00241622364
2305	0.002415318952
2306	0.002414310063
2307	0.002413693603
2308	0.002412120403
2309	0.0024110299
2310	0.002409598603
2311	0.00240842832
2312	0.002406741689
2313	0.002405608907
2314	0.002404347228
2315	0.002402467571
2316	0.002400788585
2317	0.002399471172
2318	0.002396720264
2319	0.002396101535
2320	0.002395039977
2321	0.002393349871
2322	0.00239235244
2323	0.002390188441
2324	0.002388815243
2325	0.002387696722
2326	0.002386736659
2327	0.002385630651
2328	0.002384440095
2329	0.00238332823
2330	0.002381869265
2331	0.002381165218
2332	0.002379858549
2333	0.002379076601
2334	0.002377765863
2335	0.002376988389
2336	0.002375522917
2337	0.002373879666
2338	0.002372911964
2339	0.002372346539
2340	0.002371197541
2341	0.002369396812
2342	0.002368530122
2343	0.002367269284
2344	0.002366021038
2345	0.002365597717
2346	0.002364244499
2347	0.002362243294
2348	0.002361493592
2349	0.00236023755
2350	0.002358508222
2351	0.002358222198
2352	0.002357699075
2353	0.00235672919
2354	0.002355536461
2355	0.002354720945
2356	0.002354449145
2357	0.002353985087
2358	0.002353394113
2359	0.002352407952
2360	0.002351317281
2361	0.00234953523
2362	0.002348489023
2363	0.002346618407
2364	0.002345638564
2365	0.002344728233
2366	0.002343478699
2367	0.002342417604
2368	0.002341414933
2369	0.002339951782
2370	0.002338694803
2371	0.002337767774
2372	0.002336493349
2373	0.002335099763
2374	0.002334091821
2375	0.002333118155
2376	0.002332491752
2377	0.002331204499
2378	0.002330405858
2379	0.002329033265
2380	0.00232789324
2381	0.002327185907
2382	0.002326082473
2383	0.002325509373
2384	0.002324708036
2385	0.002323819278
2386	0.002322631723
2387	0.002322213389
2388	0.002320883487
2389	0.002319734962
2390	0.002318344367
2391	0.002318138871
2392	0.002317179712
2393	0.002315594912
2394	0.002314458677
2395	0.002312879922
2396	0.002311289903
2397	0.002310414302
2398	0.002309055705
2399	0.002307981957
2400	0.002307461035
2401	0.002306371527
2402	0.00230515819
2403	0.002304242259
